Crop,Season,Area,Fertilizer,Temperature,rainfall,yeild
moong green gram,summer,310.0,53.0,32.0,142.0,1.65
niger seed,kharif,999.0,171.0,30.0,142.0,2.45
ragi,summer,6055.0,1040.0,38.0,142.0,17.83
rapeseed andmustard,kharif,230.0,39.0,29.0,142.0,2.35
sannhamp,whole year,2081.0,357.0,33.0,142.0,5.95
sunflower,summer,4487.0,770.0,19.0,142.0,10.85
urad,rabi,2875.0,493.0,28.0,142.0,4.66
urad,summer,223.0,38.0,38.0,142.0,4.71
arhar/tur,whole year,313.0,53.0,39.0,311.0,16.68
cotton lint,whole year,54.0,9.0,37.0,311.0,15.19
garlic,whole year,191.0,32.0,24.0,311.0,51.83
ginger,whole year,2819.0,484.0,27.0,311.0,42.27
gram,whole year,600.0,103.0,25.0,311.0,7.57
groundnut,whole year,117.0,20.0,19.0,311.0,12.56
jowar,whole year,285.0,48.0,27.0,311.0,8.25
maize,whole year,113.0,19.0,21.0,311.0,12.39
ragi,whole year,213.0,36.0,36.0,311.0,12.25
sesamum,whole year,207.94,35.0,37.0,311.0,6.2
small millets,kharif,30.0,5.0,25.0,311.0,7.33
small millets,rabi,27.0,4.0,23.0,311.0,7.78
tobacco,whole year,8.0,1.0,26.0,311.0,17.5
turmeric,whole year,2277.0,391.0,32.0,311.0,29.22
arecanut,whole year,6843.0,1175.0,16.0,91.0,19.79
arhar/tur,rabi,2894.0,497.0,28.0,91.0,11.51
black pepper,whole year,6080.0,1044.0,18.0,91.0,2.15
cardamom,whole year,3831.0,658.0,22.0,91.0,0.91
castor seed,kharif,5259.0,903.0,26.0,91.0,3.13
gram,rabi,5552.0,953.0,27.0,91.0,9.25
horse-gram,kharif,2439.0,418.0,19.0,91.0,6.96
rapeseed andmustard,rabi,137.0,23.0,37.0,91.0,2.41
sunflower,kharif,168.0,28.0,40.0,91.0,10.0
sunflower,rabi,4075.0,699.0,37.0,91.0,8.99
tobacco,whole year,1658.0,284.0,16.0,91.0,14.63
groundnut,winter,8157.0,776.0,31.0,149.0,10.92
horse-gram,summer,952.0,90.0,32.0,149.0,2.66
maize,summer,1164.0,110.0,36.0,149.0,8.4
maize,winter,144.0,13.0,40.0,149.0,9.44
ragi,summer,603.0,57.0,22.0,149.0,7.11
sesamum,autumn,7286.0,693.0,34.0,149.0,2.23
urad,summer,2077.0,197.0,21.0,149.0,2.31
wheat,rabi,5162.0,491.0,17.0,149.0,12.32
arhar/tur,rabi,3500.0,333.0,27.0,92.0,4.0
small millets,rabi,3000.0,285.0,32.0,92.0,0.67
bajra,kharif,5894.0,560.0,18.0,130.0,6.1
castor seed,kharif,967.0,92.0,39.0,130.0,7.87
coriander,whole year,3097.0,294.0,33.0,130.0,4.87
cotton lint,kharif,200.0,19.0,27.0,130.0,20.0
dry chillies,whole year,5231.0,497.0,24.0,130.0,8.51
garlic,whole year,3068.0,291.0,38.0,130.0,13.35
ginger,kharif,629.0,59.0,31.0,130.0,14.1
groundnut,kharif,5245.0,499.0,21.0,130.0,12.0
jowar,kharif,3129.0,297.0,35.0,130.0,8.6
safflower,rabi,480.0,45.0,26.0,130.0,6.29
sannhamp,whole year,3844.0,365.0,38.0,130.0,5.94
turmeric,whole year,2904.0,276.0,23.0,130.0,11.07
jowar,rabi,8300.0,789.0,19.0,118.0,8.67
sunflower,kharif,9000.0,856.0,17.0,118.0,3.33
maize,summer,7500.0,713.0,23.0,115.0,16.67
rice,summer,329.0,31.0,35.0,115.0,19.64
arhar/tur,kharif,83.0,7.0,24.0,264.0,17.23
groundnut,kharif,119.0,11.0,18.0,264.0,14.96
maize,kharif,8140.0,774.0,28.0,264.0,19.97
maize,rabi,120.0,11.0,26.0,264.0,20.25
peas and beans  pulses,kharif,231.0,21.0,28.0,264.0,11.73
rapeseed andmustard,kharif,374.0,35.0,16.0,264.0,11.76
rapeseed andmustard,rabi,2095.0,199.0,25.0,264.0,6.4
sesamum,kharif,4592.0,437.0,25.0,264.0,9.68
soyabean,kharif,1039.0,98.0,27.0,264.0,15.53
tobacco,rabi,377.0,35.0,27.0,264.0,11.01
wheat,rabi,22.0,2.0,37.0,264.0,5.0
bajra,kharif,8000.0,761.0,35.0,69.0,10.0
groundnut,kharif,8000.0,761.0,38.0,69.0,10.0
masoor,rabi,5200.0,494.0,31.0,69.0,6.54
urad,kharif,4700.0,447.0,33.0,69.0,4.04
castor seed,kharif,23.0,2.0,18.0,47.0,6.52
rice,summer,6607.0,628.0,27.0,47.0,27.67
arhar/tur,rabi,3100.0,306.0,20.0,104.0,5.16
bajra,rabi,7300.0,721.0,32.0,104.0,6.3
gram,kharif,100.0,9.0,35.0,104.0,10.0
small millets,kharif,3300.0,326.0,25.0,104.0,6.67
bajra,kharif,6180.0,610.0,24.0,133.0,5.89
castor seed,kharif,975.0,96.0,28.0,133.0,8.31
coriander,whole year,2971.0,293.0,35.0,133.0,6.13
cotton lint,kharif,43.0,4.0,19.0,133.0,20.47
dry chillies,whole year,6304.0,622.0,37.0,133.0,10.09
garlic,whole year,2927.0,289.0,35.0,133.0,14.53
ginger,whole year,798.0,78.0,34.0,133.0,13.98
groundnut,kharif,4856.0,479.0,29.0,133.0,12.66
jowar,kharif,2635.0,260.0,15.0,133.0,9.4
safflower,rabi,713.0,70.0,20.0,133.0,5.71
sannhamp,whole year,4196.0,414.0,30.0,133.0,5.67
turmeric,whole year,3106.0,306.0,26.0,133.0,10.59
small millets,rabi,2300.0,227.0,36.0,77.0,4.35
dry chillies,whole year,1891.0,186.0,32.0,68.0,8.46
groundnut,kharif,1196.0,118.0,23.0,68.0,6.69
moth,kharif,2189.0,216.0,34.0,68.0,1.83
peas and beans  pulses,rabi,1742.0,172.0,16.0,68.0,10.33
sannhamp,whole year,797.0,78.0,39.0,68.0,2.51
sesamum,kharif,3098.0,306.0,34.0,68.0,3.23
urad,kharif,1957.0,193.0,34.0,68.0,2.55
arhar/tur,kharif,128.0,12.0,29.0,138.0,2.34
bajra,kharif,469.0,46.0,29.0,138.0,5.67
coriander,rabi,395.0,39.0,18.0,138.0,3.24
cotton lint,whole year,57.0,5.0,22.0,138.0,5.26
dry chillies,whole year,1007.0,99.0,40.0,138.0,2.22
garlic,whole year,663.0,65.0,17.0,138.0,10.56
ginger,whole year,1822.0,180.0,18.0,138.0,14.44
gram,rabi,1908.0,188.0,30.0,138.0,8.66
groundnut,kharif,282.0,27.0,24.0,138.0,10.14
horse-gram,kharif,3028.0,299.0,16.0,138.0,4.87
linseed,rabi,2384.0,235.0,39.0,138.0,2.59
masoor,rabi,1168.0,115.0,26.0,138.0,4.43
moong green gram,kharif,62.0,6.0,19.0,138.0,4.03
peas and beans  pulses,rabi,4845.0,478.0,17.0,138.0,22.54
sesamum,kharif,4563.0,450.0,19.0,138.0,4.65
soyabean,kharif,585.0,57.0,23.0,138.0,19.71
tobacco,whole year,59.0,5.0,40.0,138.0,3.39
turmeric,whole year,84.0,8.0,34.0,138.0,7.02
jowar,rabi,9400.0,928.0,32.0,96.0,9.68
sunflower,kharif,8100.0,800.0,31.0,96.0,3.09
arhar/tur,kharif,8700.0,859.0,39.0,58.0,6.21
bajra,kharif,4000.0,395.0,38.0,58.0,10.0
groundnut,kharif,6000.0,592.0,35.0,58.0,8.33
linseed,rabi,300.0,29.0,18.0,58.0,10.0
masoor,rabi,4800.0,474.0,15.0,58.0,6.67
peas and beans  pulses,rabi,4300.0,424.0,31.0,58.0,9.53
urad,kharif,4100.0,405.0,25.0,58.0,4.88
black pepper,whole year,2633.0,260.0,25.0,107.0,1.97
cardamom,whole year,4197.0,414.0,36.0,107.0,0.74
garlic,whole year,2015.0,199.0,28.0,107.0,52.75
gram,rabi,7620.0,752.0,23.0,107.0,8.33
mesta,kharif,383.0,37.0,28.0,107.0,46.74
rapeseed andmustard,whole year,555.0,54.0,16.0,107.0,2.45
sannhamp,whole year,2558.0,252.0,33.0,107.0,7.29
tobacco,whole year,5775.0,570.0,25.0,107.0,15.03
arhar/tur,kharif,790.0,78.0,39.0,247.0,6.58
cotton lint,kharif,750.0,74.0,15.0,247.0,11.33
gram,rabi,170.0,16.0,21.0,247.0,6.47
groundnut,kharif,1420.0,140.0,33.0,247.0,9.93
groundnut,rabi,365.0,36.0,18.0,247.0,8.63
maize,kharif,2320.0,229.0,37.0,247.0,7.46
masoor,rabi,295.0,29.0,20.0,247.0,4.07
moong green gram,kharif,700.0,69.0,23.0,247.0,4.71
moong green gram,rabi,630.0,62.0,37.0,247.0,4.13
peas and beans  pulses,rabi,780.0,77.0,22.0,247.0,6.03
rapeseed andmustard,rabi,3630.0,358.0,18.0,247.0,7.99
sesamum,kharif,2170.0,214.0,25.0,247.0,4.29
urad,kharif,1000.0,98.0,27.0,247.0,4.7
urad,rabi,500.0,49.0,17.0,247.0,4.6
wheat,rabi,1110.0,109.0,25.0,247.0,18.92
castor seed,rabi,36.0,3.0,24.0,74.0,6.67
cotton lint,kharif,7454.0,736.0,30.0,74.0,1.09
jute,kharif,66.0,6.0,26.0,74.0,7.73
moth,kharif,164.0,16.0,34.0,74.0,3.84
rice,summer,5629.0,556.0,21.0,74.0,22.46
sannhamp,whole year,9421.0,930.0,37.0,74.0,3.64
turmeric,whole year,836.0,82.0,38.0,74.0,18.59
bajra,kharif,1629.0,172.0,21.0,140.0,6.08
coriander,whole year,3086.0,327.0,27.0,140.0,5.26
dry chillies,whole year,5504.0,584.0,31.0,140.0,10.33
garlic,whole year,2777.0,294.0,17.0,140.0,14.34
ginger,kharif,796.0,84.0,31.0,140.0,13.35
groundnut,kharif,336.0,35.0,29.0,140.0,11.67
moong green gram,kharif,8821.0,936.0,31.0,140.0,5.28
safflower,rabi,610.0,64.0,23.0,140.0,5.67
sesamum,kharif,3599.0,381.0,26.0,140.0,5.23
turmeric,whole year,3134.0,332.0,25.0,140.0,10.54
garlic,whole year,8800.0,933.0,21.0,45.0,50.8
small millets,rabi,5300.0,562.0,20.0,45.0,3.4
dry chillies,whole year,2619.0,277.0,19.0,34.0,9.93
groundnut,kharif,751.0,79.0,33.0,34.0,6.66
masoor,rabi,8650.0,918.0,22.0,34.0,7.17
peas and beans  pulses,rabi,1358.0,144.0,15.0,34.0,11.05
sunflower,rabi,6857.0,727.0,24.0,34.0,11.08
urad,kharif,1221.0,129.0,35.0,34.0,4.11
arhar/tur,kharif,155.0,16.0,30.0,114.0,2.13
dry chillies,whole year,859.0,91.0,28.0,114.0,3.21
gram,rabi,1691.0,179.0,39.0,114.0,9.43
groundnut,kharif,179.0,18.0,33.0,114.0,8.38
horse-gram,kharif,3307.0,350.0,33.0,114.0,4.94
linseed,rabi,2937.0,311.0,29.0,114.0,3.03
masoor,kharif,1061.0,112.0,28.0,114.0,4.15
moong green gram,kharif,342.0,36.0,29.0,114.0,4.06
peas and beans  pulses,kharif,5046.0,535.0,26.0,114.0,23.57
sesamum,kharif,4056.0,430.0,28.0,114.0,5.13
soyabean,kharif,553.0,58.0,38.0,114.0,12.95
sugarcane,whole year,3005.0,318.0,29.0,114.0,51.48
black pepper,whole year,6633.0,703.0,16.0,120.0,24.14
garlic,whole year,4991.0,529.0,30.0,120.0,7.42
jowar,summer,8514.0,903.0,25.0,120.0,22.51
mesta,kharif,3179.0,337.0,26.0,120.0,13.81
rapeseed andmustard,rabi,6409.0,680.0,27.0,120.0,2.74
sannhamp,whole year,346.0,36.0,20.0,120.0,2.51
turmeric,whole year,6704.0,711.0,32.0,120.0,43.56
urad,rabi,5468.0,580.0,33.0,120.0,3.72
castor seed,kharif,2708.0,287.0,32.0,122.0,3.12
ginger,kharif,4724.0,501.0,31.0,122.0,14.1
jowar,rabi,8982.0,953.0,16.0,122.0,7.82
safflower,rabi,1887.0,200.0,20.0,122.0,2.63
sannhamp,whole year,6859.0,727.0,33.0,122.0,19.2
sunflower,kharif,8342.0,885.0,26.0,122.0,3.97
turmeric,whole year,409.0,43.0,30.0,122.0,11.88
urad,rabi,7079.0,751.0,36.0,122.0,4.07
sesamum,rabi,6900.0,732.0,30.0,116.0,3.04
small millets,rabi,9100.0,965.0,35.0,116.0,3.08
arhar/tur,kharif,2870.0,304.0,25.0,178.0,7.49
bajra,kharif,1500.0,159.0,35.0,178.0,8.33
castor seed,kharif,820.0,87.0,27.0,178.0,9.15
cotton lint,kharif,250.0,26.0,39.0,178.0,14.0
gram,rabi,1720.0,182.0,37.0,178.0,5.93
groundnut,kharif,3000.0,318.0,37.0,178.0,9.33
jowar,kharif,1500.0,159.0,23.0,178.0,7.13
jute,kharif,260.0,27.0,22.0,178.0,13.85
linseed,rabi,4200.0,445.0,37.0,178.0,7.5
moong green gram,kharif,2500.0,265.0,33.0,178.0,7.2
peas and beans  pulses,kharif,1250.0,132.0,38.0,178.0,7.52
rapeseed andmustard,rabi,1400.0,148.0,36.0,178.0,10.0
sesamum,kharif,5000.0,530.0,34.0,178.0,4.8
sunflower,kharif,1000.0,106.0,39.0,178.0,11.2
sunflower,rabi,2500.0,265.0,26.0,178.0,13.92
bajra,kharif,4010.0,425.0,18.0,148.0,5.86
maize,rabi,8270.0,877.0,37.0,148.0,12.43
ragi,rabi,6790.0,720.0,23.0,148.0,10.1
safflower,rabi,2400.0,254.0,16.0,148.0,4.79
soyabean,kharif,60.0,6.0,35.0,148.0,1.67
sunflower,kharif,570.0,60.0,16.0,148.0,5.79
sunflower,rabi,8780.0,931.0,39.0,148.0,8.11
tobacco,whole year,7430.0,788.0,19.0,148.0,6.18
arhar/tur,kharif,8600.0,912.0,19.0,36.0,8.37
bajra,kharif,5000.0,530.0,23.0,36.0,8.0
gram,rabi,6300.0,668.0,19.0,36.0,9.68
groundnut,kharif,6000.0,636.0,19.0,36.0,10.0
linseed,rabi,300.0,31.0,33.0,36.0,10.0
masoor,rabi,3900.0,413.0,17.0,36.0,6.67
peas and beans  pulses,rabi,4300.0,456.0,34.0,36.0,6.51
urad,kharif,3600.0,382.0,28.0,36.0,4.75
black pepper,whole year,563.0,59.0,27.0,92.0,2.17
cardamom,whole year,1213.0,128.0,17.0,92.0,0.92
gram,rabi,8283.0,879.0,23.0,92.0,6.49
mesta,kharif,59.0,6.0,18.0,92.0,46.27
rapeseed andmustard,rabi,631.0,66.0,21.0,92.0,2.41
sannhamp,whole year,7263.0,770.0,34.0,92.0,7.29
tobacco,whole year,5992.0,635.0,36.0,92.0,15.64
castor seed,kharif,76.0,8.0,17.0,88.0,6.45
cotton lint,kharif,6914.0,733.0,19.0,88.0,8.79
jute,kharif,38.0,4.0,29.0,88.0,7.63
moth,whole year,204.0,21.0,36.0,88.0,4.12
rice,summer,6052.0,642.0,38.0,88.0,26.74
turmeric,whole year,1271.0,134.0,17.0,88.0,15.59
bajra,kharif,1534.0,150.0,25.0,120.0,8.25
coriander,whole year,2511.0,246.0,26.0,120.0,4.73
dry chillies,whole year,4385.0,430.0,27.0,120.0,10.58
garlic,whole year,2560.0,251.0,29.0,120.0,14.11
ginger,kharif,711.0,69.0,40.0,120.0,13.76
groundnut,kharif,96.0,9.0,35.0,120.0,11.04
jowar,kharif,1087.0,106.0,19.0,120.0,9.14
moong green gram,kharif,9229.0,906.0,35.0,120.0,5.6
safflower,rabi,275.0,26.0,39.0,120.0,8.0
sesamum,kharif,3581.0,351.0,23.0,120.0,5.57
small millets,kharif,7824.0,768.0,18.0,120.0,5.52
turmeric,whole year,3121.0,306.0,28.0,120.0,9.72
bajra,kharif,78.0,7.0,16.0,89.0,3.97
barley,rabi,4611.0,452.0,28.0,89.0,8.4
castor seed,kharif,133.0,13.0,25.0,89.0,2.71
coriander,whole year,3415.0,335.0,40.0,89.0,2.61
cotton lint,kharif,69.0,6.0,28.0,89.0,1.45
dry chillies,whole year,5434.0,533.0,39.0,89.0,2.54
garlic,whole year,708.0,69.0,26.0,89.0,28.74
ginger,whole year,1652.0,162.0,40.0,89.0,9.32
mesta,kharif,1393.0,136.0,19.0,89.0,20.12
moong green gram,rabi,4327.0,424.0,20.0,89.0,2.17
peas and beans  pulses,rabi,8855.0,869.0,31.0,89.0,3.62
safflower,rabi,949.0,93.0,36.0,89.0,2.15
sannhamp,whole year,1788.0,175.0,27.0,89.0,2.81
sugarcane,whole year,3317.0,325.0,20.0,89.0,26.01
sunflower,kharif,1235.0,121.0,38.0,89.0,4.15
tobacco,whole year,42.0,4.0,17.0,89.0,4.76
turmeric,whole year,635.0,62.0,36.0,89.0,10.11
urad,rabi,5201.0,510.0,37.0,89.0,2.4
garlic,whole year,2500.0,245.0,38.0,37.0,50.0
rice,summer,3900.0,382.0,33.0,37.0,27.44
small millets,rabi,600.0,58.0,38.0,37.0,3.33
dry chillies,whole year,2140.0,210.0,30.0,38.0,9.81
groundnut,kharif,340.0,33.0,16.0,38.0,5.88
masoor,rabi,6493.0,637.0,17.0,38.0,8.01
moong green gram,kharif,5331.0,523.0,40.0,38.0,2.25
peas and beans  pulses,rabi,1027.0,100.0,26.0,38.0,10.71
sannhamp,whole year,452.0,44.0,23.0,38.0,2.21
sesamum,kharif,3527.0,346.0,21.0,38.0,2.84
sunflower,rabi,1254.0,123.0,32.0,38.0,11.96
urad,kharif,1527.0,149.0,16.0,38.0,1.96
arhar/tur,kharif,272.0,26.0,27.0,106.0,1.62
bajra,kharif,116.0,11.0,18.0,106.0,3.53
gram,rabi,1403.0,137.0,38.0,106.0,6.11
groundnut,kharif,137.0,13.0,23.0,106.0,5.99
horse-gram,kharif,2807.0,275.0,31.0,106.0,2.87
jowar,kharif,287.0,28.0,26.0,106.0,3.1
linseed,rabi,2444.0,239.0,21.0,106.0,1.43
masoor,kharif,993.0,97.0,23.0,106.0,2.78
moong green gram,kharif,288.0,28.0,25.0,106.0,2.81
peas and beans  pulses,kharif,5510.0,540.0,15.0,106.0,21.57
sesamum,kharif,4596.0,451.0,26.0,106.0,3.78
soyabean,kharif,649.0,63.0,32.0,106.0,9.01
sugarcane,whole year,2817.0,276.0,26.0,106.0,27.88
castor seed,kharif,3296.0,323.0,19.0,72.0,2.48
ginger,kharif,4265.0,418.0,37.0,72.0,12.55
jowar,rabi,2191.0,215.0,18.0,72.0,7.17
ragi,kharif,1783.0,175.0,28.0,72.0,3.71
safflower,rabi,142.0,13.0,25.0,72.0,2.75
sannhamp,whole year,6422.0,630.0,17.0,72.0,14.13
sunflower,kharif,3175.0,311.0,20.0,72.0,3.53
turmeric,whole year,373.0,36.0,39.0,72.0,9.09
rapeseed andmustard,rabi,8200.0,804.0,24.0,105.0,2.32
sesamum,rabi,5300.0,520.0,35.0,105.0,3.58
small millets,rabi,2500.0,245.0,26.0,105.0,4.0
sunflower,summer,8900.0,873.0,16.0,105.0,5.84
arhar/tur,kharif,77.0,7.0,33.0,283.0,12.34
cotton lint,kharif,483.0,47.0,25.0,283.0,25.59
maize,kharif,6410.0,629.0,37.0,283.0,25.14
maize,rabi,233.0,22.0,27.0,283.0,13.91
rapeseed andmustard,rabi,2328.0,228.0,31.0,283.0,8.52
sesamum,kharif,3791.0,372.0,22.0,283.0,5.4
soyabean,kharif,1194.0,117.0,34.0,283.0,13.32
tobacco,whole year,373.0,36.0,26.0,283.0,6.6
arhar/tur,kharif,4000.0,392.0,38.0,163.0,11.25
bajra,kharif,1500.0,147.0,29.0,163.0,8.33
barley,rabi,1000.0,98.0,27.0,163.0,15.0
castor seed,kharif,1000.0,98.0,39.0,163.0,7.5
cotton lint,kharif,251.0,24.0,36.0,163.0,13.94
gram,rabi,1000.0,98.0,35.0,163.0,8.0
groundnut,kharif,3500.0,343.0,27.0,163.0,11.43
jowar,kharif,1500.0,147.0,16.0,163.0,8.33
jute,kharif,350.0,34.0,27.0,163.0,13.71
linseed,rabi,6500.0,638.0,30.0,163.0,4.62
moong green gram,kharif,2000.0,196.0,34.0,163.0,9.0
niger seed,kharif,750.0,73.0,17.0,163.0,5.33
peas and beans  pulses,kharif,1700.0,166.0,22.0,163.0,6.59
peas and beans  pulses,rabi,6000.0,589.0,35.0,163.0,10.0
rice,rabi,1680.0,164.0,29.0,163.0,19.82
sesamum,kharif,3000.0,294.0,37.0,163.0,8.33
sunflower,kharif,4000.0,392.0,33.0,163.0,7.5
sunflower,rabi,1000.0,98.0,24.0,163.0,11.0
wheat,rabi,5000.0,490.0,27.0,163.0,20.0
arhar/tur,rabi,50.0,4.0,38.0,106.0,6.0
bajra,kharif,4120.0,404.0,17.0,106.0,5.7
castor seed,rabi,8650.0,849.0,15.0,106.0,4.55
garlic,whole year,9000.0,883.0,31.0,106.0,31.42
safflower,rabi,1390.0,136.0,30.0,106.0,5.61
sunflower,kharif,830.0,81.0,37.0,106.0,5.78
sunflower,rabi,4250.0,417.0,17.0,106.0,7.32
tobacco,whole year,3380.0,331.0,37.0,106.0,4.62
wheat,rabi,8819.0,865.0,36.0,106.0,14.63
arhar/tur,kharif,8700.0,854.0,38.0,40.0,8.74
bajra,kharif,6000.0,589.0,24.0,40.0,8.33
gram,rabi,7700.0,755.0,25.0,40.0,9.48
groundnut,kharif,4000.0,392.0,38.0,40.0,10.0
linseed,rabi,600.0,58.0,36.0,40.0,10.0
masoor,rabi,4700.0,461.0,27.0,40.0,6.6
moth,kharif,300.0,29.0,32.0,40.0,10.0
black pepper,whole year,1640.0,160.0,24.0,97.0,2.74
cardamom,whole year,2144.0,210.0,20.0,97.0,0.95
gram,rabi,5688.0,558.0,26.0,97.0,6.18
mesta,kharif,134.0,13.0,34.0,97.0,44.33
rapeseed andmustard,rabi,753.0,73.0,37.0,97.0,2.46
tobacco,whole year,5926.0,581.0,22.0,97.0,15.57
castor seed,kharif,25.0,2.0,19.0,87.0,6.4
cotton lint,kharif,5328.0,523.0,29.0,87.0,8.93
jute,kharif,30.0,2.0,28.0,87.0,8.33
moth,kharif,151.0,14.0,27.0,87.0,3.05
rice,summer,3023.0,296.0,23.0,87.0,22.82
turmeric,whole year,1253.0,123.0,19.0,87.0,17.44
arhar/tur,kharif,1890.0,185.0,25.0,141.0,5.19
bajra,kharif,11.0,1.0,36.0,141.0,13.64
gram,rabi,993.0,97.0,31.0,141.0,6.88
groundnut,kharif,1750.0,171.0,36.0,141.0,8.46
horse-gram,kharif,9223.0,905.0,38.0,141.0,5.19
linseed,rabi,17.0,1.0,36.0,141.0,2.94
maize,rabi,63.0,6.0,23.0,141.0,15.71
moong green gram,kharif,45.0,4.0,19.0,141.0,3.56
moong green gram,rabi,110.0,10.0,18.0,141.0,2.82
moth,kharif,44.0,4.0,34.0,141.0,3.86
peas and beans  pulses,rabi,3402.0,333.0,19.0,141.0,7.64
rice,rabi,3062.0,300.0,27.0,141.0,31.28
sesamum,kharif,2700.0,265.0,39.0,141.0,1.64
soyabean,kharif,6478.0,635.0,19.0,141.0,6.76
sunflower,kharif,213.0,20.0,27.0,141.0,10.66
turmeric,whole year,152.0,14.0,23.0,141.0,2.57
urad,rabi,1018.0,99.0,40.0,141.0,3.39
bajra,kharif,828.0,84.0,35.0,124.0,7.22
coriander,whole year,2286.0,233.0,19.0,124.0,5.8
dry chillies,whole year,3558.0,363.0,26.0,124.0,9.98
garlic,whole year,2156.0,220.0,20.0,124.0,14.68
ginger,kharif,293.0,29.0,39.0,124.0,13.89
groundnut,kharif,245.0,25.0,37.0,124.0,5.59
jowar,kharif,4388.0,448.0,22.0,124.0,8.46
moong green gram,kharif,7902.0,807.0,25.0,124.0,5.65
safflower,rabi,237.0,24.0,22.0,124.0,7.64
sesamum,kharif,3297.0,336.0,21.0,124.0,6.25
small millets,kharif,7477.0,763.0,23.0,124.0,7.44
turmeric,whole year,2918.0,298.0,18.0,124.0,10.41
bajra,kharif,80.0,8.0,39.0,155.0,4.5
barley,rabi,4245.0,433.0,30.0,155.0,8.2
castor seed,kharif,113.0,11.0,32.0,155.0,2.74
coriander,whole year,3618.0,369.0,30.0,155.0,2.63
cotton lint,kharif,103.0,10.0,18.0,155.0,6.99
dry chillies,whole year,6909.0,705.0,33.0,155.0,5.45
garlic,whole year,779.0,79.0,38.0,155.0,28.28
ginger,whole year,1797.0,183.0,24.0,155.0,9.35
jowar,kharif,9423.0,962.0,39.0,155.0,9.73
mesta,kharif,1325.0,135.0,23.0,155.0,20.97
moong green gram,rabi,5558.0,567.0,24.0,155.0,2.76
safflower,rabi,338.0,34.0,16.0,155.0,2.49
sannhamp,whole year,1736.0,177.0,34.0,155.0,3.52
sugarcane,whole year,3476.0,355.0,39.0,155.0,26.02
sunflower,kharif,2885.0,294.0,30.0,155.0,4.1
tobacco,whole year,40.0,4.0,36.0,155.0,5.5
turmeric,whole year,649.0,66.0,37.0,155.0,9.11
urad,rabi,5519.0,563.0,40.0,155.0,2.42
rice,summer,3800.0,388.0,19.0,66.0,30.26
small millets,rabi,1200.0,122.0,25.0,66.0,3.33
dry chillies,whole year,1933.0,197.0,39.0,48.0,11.38
groundnut,kharif,485.0,49.0,27.0,48.0,6.19
masoor,rabi,9325.0,952.0,30.0,48.0,8.04
moth,kharif,1847.0,188.0,16.0,48.0,1.08
peas and beans  pulses,rabi,1065.0,108.0,19.0,48.0,11.27
sannhamp,whole year,1895.0,193.0,37.0,48.0,3.69
sesamum,kharif,4838.0,494.0,33.0,48.0,2.89
sunflower,rabi,2581.0,263.0,34.0,48.0,14.34
urad,kharif,1999.0,204.0,18.0,48.0,2.0
arhar/tur,kharif,1480.0,151.0,36.0,91.0,2.29
bajra,kharif,110.0,11.0,18.0,91.0,5.18
coriander,whole year,308.0,31.0,19.0,91.0,3.41
cotton lint,kharif,20.0,2.0,32.0,91.0,6.5
dry chillies,whole year,1024.0,104.0,27.0,91.0,1.9
garlic,whole year,1597.0,163.0,33.0,91.0,10.76
gram,rabi,1144.0,116.0,26.0,91.0,8.78
groundnut,kharif,129.0,13.0,26.0,91.0,5.81
horse-gram,kharif,2418.0,246.0,33.0,91.0,4.0
linseed,rabi,2272.0,232.0,36.0,91.0,2.46
masoor,kharif,751.0,76.0,27.0,91.0,3.7
moong green gram,kharif,94.0,9.0,39.0,91.0,3.4
peas and beans  pulses,kharif,5294.0,540.0,38.0,91.0,22.57
sannhamp,whole year,38.0,3.0,25.0,91.0,10.0
sesamum,kharif,4475.0,457.0,24.0,91.0,5.37
soyabean,kharif,661.0,67.0,16.0,91.0,10.97
sugarcane,whole year,2635.0,269.0,21.0,91.0,42.58
tobacco,whole year,23.0,2.0,33.0,91.0,11.3
turmeric,whole year,127.0,12.0,35.0,91.0,5.83
castor seed,kharif,2496.0,254.0,15.0,95.0,3.23
ginger,kharif,4950.0,505.0,23.0,95.0,13.74
jowar,rabi,4676.0,477.0,31.0,95.0,9.03
ragi,kharif,508.0,51.0,17.0,95.0,2.66
safflower,rabi,321.0,32.0,25.0,95.0,2.59
sannhamp,whole year,6015.0,614.0,17.0,95.0,17.44
sunflower,kharif,2035.0,207.0,28.0,95.0,4.45
tobacco,whole year,255.0,26.0,40.0,95.0,4.71
turmeric,whole year,382.0,39.0,22.0,95.0,10.45
maize,summer,8500.0,868.0,31.0,103.0,13.76
sesamum,rabi,4500.0,459.0,21.0,103.0,2.13
sunflower,summer,5800.0,592.0,20.0,103.0,8.97
arhar/tur,kharif,53.0,5.0,23.0,240.0,9.25
cotton lint,kharif,618.0,63.0,21.0,240.0,20.45
maize,kharif,5493.0,561.0,31.0,240.0,25.05
maize,rabi,1884.0,192.0,18.0,240.0,15.32
masoor,rabi,45.0,4.0,27.0,240.0,12.67
moong green gram,rabi,82.77,8.0,38.0,240.0,8.7
peas and beans  pulses,kharif,100.9,10.0,38.0,240.0,15.96
peas and beans  pulses,rabi,138.5,14.0,36.0,240.0,7.0
potato,whole year,376.0,38.0,19.0,240.0,39.12
rapeseed andmustard,rabi,2494.0,254.0,16.0,240.0,8.71
sesamum,kharif,3985.0,406.0,15.0,240.0,4.37
soyabean,kharif,1266.0,129.0,22.0,240.0,9.57
